DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,LOCATION,Cross Street,LAT,LON,Day of Week,Amount,Damage
2021-09-25,2200,19,Mission,763,STALKING,9,F,H,101.0,STREET,515.0,PHYSICAL PRESENCE,13500    SIMSHAW                      AV,NO CROSS STREET,34.3171,-118.4101,6,0.0,0
2022-05-02,1130,14,Pacific,330,BURGLARY FROM VEHICLE,32,F,W,101.0,STREET,999.0,NO WEAPON,2400    CLARK                        AV,NO CROSS STREET,33.9862,-118.4619,1,2000.0,1
2023-06-18,2130,1,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",999.0,NO WEAPON,1200 S  FIGUEROA                     ST,NO CROSS STREET,34.0419,-118.2669,7,900.0,1
2021-08-11,1700,21,Topanga,510,VEHICLE - STOLEN,0,X,X,108.0,PARKING LOT,999.0,NO WEAPON,7000    ALABAMA                      AV,NO CROSS STREET,34.1974,-118.599,3,20000.0,1
2020-08-28,800,8,West LA,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,X,X,101.0,STREET,999.0,NO WEAPON,1800 S  BEDFORD                      ST,NO CROSS STREET,34.0442,-118.3827,5,950.0,1
2021-06-13,1900,10,West Valley,354,THEFT OF IDENTITY,0,M,W,605.0,AUTOMATED TELLER MACHINE (ATM),999.0,NO WEAPON,18300    VENTURA                      BL,NO CROSS STREET,34.1682,-118.5406,7,0.0,0
2020-02-13,1,18,Southeast,662,"BUNCO, GRAND THEFT",58,M,W,203.0,OTHER BUSINESS,999.0,NO WEAPON,11100 S  MAIN                         ST,NO CROSS STREET,33.9348,-118.2739,4,20000.0,1
2021-09-30,800,1,Central,624,BATTERY - SIMPLE ASSAULT,49,F,H,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,N  VENICE,WRIGHT,34.0389,-118.2734,4,0.0,0
2022-01-15,1625,15,N Hollywood,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),49,M,H,108.0,PARKING LOT,999.0,NO WEAPON,6600    LAUREL CANYON                BL,NO CROSS STREET,34.1903,-118.3965,6,20000.0,1
2020-10-16,230,18,Southeast,440,THEFT PLAIN - PETTY ($950 & UNDER),36,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",999.0,NO WEAPON,10300    AVALON                       BL,NO CROSS STREET,33.9429,-118.265,5,950.0,1
